store_id,sku_id,day_of_week,month,is_holiday,price,promotion,temperature,inventory_level,competitor_price,store_traffic,prediction,units_sold
5.0,26.0,3.0,3.0,0.0,111.38,1.0,49.9,347.0,94.23,1963.0,56.23373427559799,58.0
17.0,1.0,0.0,5.0,0.0,57.86,1.0,92.2,259.0,67.42,559.0,52.67135703390465,69.0
29.0,27.0,3.0,12.0,1.0,18.3,1.0,46.6,87.0,18.37,1453.0,84.42169675472275,86.0
13.0,45.0,0.0,6.0,0.0,13.5,1.0,97.1,73.0,14.35,1652.0,56.5270766634493,57.0
28.0,12.0,2.0,1.0,0.0,108.03,0.0,38.2,292.0,100.75,1157.0,31.006509220729882,30.0
18.0,15.0,6.0,5.0,0.0,109.69,1.0,84.0,22.0,108.01,1738.0,56.0314614067599,61.0
20.0,70.0,0.0,1.0,0.0,10.09,0.0,47.9,121.0,10.14,1171.0,33.803907939924244,24.0
11.0,3.0,2.0,9.0,0.0,94.68,1.0,75.2,109.0,104.01,1038.0,56.071775217926564,66.0
13.0,49.0,0.0,1.0,0.0,58.82,0.0,33.3,143.0,64.81,1097.0,34.34908947196139,47.0
21.0,27.0,0.0,3.0,0.0,106.61,0.0,50.0,300.0,102.1,113.0,31.208028654950013,28.0
27.0,4.0,4.0,12.0,0.0,17.54,1.0,34.3,217.0,16.74,1667.0,55.899073772823954,63.0
22.0,61.0,6.0,3.0,0.0,105.93,0.0,46.3,331.0,132.93,1239.0,46.73911838116178,56.0
6.0,8.0,3.0,8.0,0.0,90.7,1.0,92.9,391.0,72.99,912.0,58.93799724777656,62.0
25.0,50.0,0.0,4.0,0.0,137.36,0.0,64.4,457.0,150.13,1800.0,40.829837033220365,36.0
22.0,41.0,4.0,3.0,0.0,74.62,1.0,51.5,129.0,96.17,1406.0,60.58986973191158,69.0
25.0,73.0,5.0,10.0,0.0,98.29,1.0,74.9,56.0,98.86,924.0,52.078904640004254,46.0
14.0,37.0,4.0,1.0,0.0,94.64,0.0,50.3,448.0,89.01,812.0,31.496874965528786,35.0
2.0,97.0,6.0,3.0,0.0,112.95,0.0,61.7,239.0,139.69,1653.0,49.11030184827725,60.0
13.0,96.0,1.0,7.0,0.0,140.67,1.0,95.5,298.0,165.57,835.0,68.1705595502582,67.0
14.0,53.0,0.0,3.0,0.0,43.14,1.0,68.6,443.0,47.37,939.0,54.07707616391944,64.0
3.0,9.0,3.0,10.0,0.0,121.33,1.0,85.1,205.0,148.6,340.0,65.17588865806424,75.0
4.0,88.0,0.0,1.0,0.0,32.01,0.0,66.1,358.0,37.61,820.0,37.45194903142057,37.0
1.0,57.0,5.0,5.0,0.0,6.24,0.0,89.3,202.0,7.41,1425.0,31.486138461240024,29.0
20.0,11.0,4.0,6.0,0.0,78.28,1.0,83.6,282.0,94.78,702.0,54.18530831799474,43.0
4.0,2.0,6.0,2.0,0.0,95.81,0.0,40.7,65.0,117.29,1927.0,42.55265757407451,42.0
6.0,77.0,1.0,11.0,0.0,87.07,1.0,44.5,404.0,104.05,543.0,59.54940997191336,74.0
1.0,94.0,5.0,3.0,0.0,104.3,0.0,72.8,147.0,107.15,957.0,31.2123695699533,31.0
14.0,90.0,6.0,3.0,0.0,132.15,0.0,57.3,91.0,134.5,1450.0,35.478928059844314,42.0
22.0,72.0,4.0,3.0,0.0,149.22,0.0,49.4,225.0,129.48,1686.0,29.68455483348076,41.0
11.0,7.0,6.0,4.0,0.0,146.18,0.0,78.7,385.0,181.15,973.0,51.25389821756808,51.0
28.0,11.0,6.0,12.0,0.0,120.44,0.0,49.4,158.0,153.01,739.0,46.837479200660475,44.0
7.0,39.0,3.0,9.0,0.0,108.89,0.0,78.3,191.0,126.2,1669.0,47.671917712933706,46.0
